Parameters,1,2,4,8,16,32,64,128,256,512
Arows,20480,28964,40960,57928,81920,115872,163840,231808,327680,463872
Annz,4194304,8389132.96,16777216,33556531.84,67108864,134263203.8,268435456,537349488.6,1073741824,2151772324
Hcols,128,128,128,128,128,128,128,128,128,128
Wcols,128,128,128,128,128,128,128,128,128,128
GFLOPs,28.21,52.48,99.37,190.87,370.55,725.54,"1,428.29","2,827.48","5,605.35","11,169.67"
Ratio,,1.86,3.52,6.77,13.13,25.72,50.63,100.22,198.69,395.92
,,,,,,,,,,
3-layer GFLOPs,84.63581184,157.4410746,298.1206426,572.5963137,1111.637361,2176.63457,4284.859023,8482.454825,16816.05526,33509.00889
,,,,,,,,,,
Vanilla,,,,,,,,,,
Runtime (ms),,,,,,,,,,
CPU,350,369,391,460,512,503,,,,
GPU,45,99,107,131,137,156,168,229,,
GPU compute,45,42,45,42,45,42,45,43,,
,,,,,,,,,,
CPU GFLOPS,241.82,213.33,190.61,155.60,135.70,135.23,,,,
CPU % MAX,48.44,42.74,38.18,31.17,27.18,27.09,,,,
,,,,,,,,,,
GPU GFLOPS,"1,880.80",795.16,696.54,546.37,507.13,436.02,398.52,289.39,,
GPU % MAX,40.02,16.92,14.82,11.62,10.79,9.28,8.48,6.16,,
GPU compute GFLOPS,"1,880.80","1,874.30","1,656.23","1,704.16","1,543.94","1,619.52","1,487.80","1,541.14",,
GPU compute % MAX,40.02,39.88,35.24,36.26,32.85,34.46,31.66,32.79,,
,,,,,,,,,,
,,,,,,,,,,
AGNN,,,,,,,,,,
Runtime(ms),,,,,,,,,,
GPU,54,105,114,188,191,,,,,
