VA	131072	1717987	2	16	0.026939454022794962	0.06279826886020601	0.02986669191159308	0.06560990400612354
VA	131072	1717987	2	128	0.17756196693517268	0.4410165890585631	0.22383143776096404	0.4875601849053055
VA	131072	17179869	2	16	0.08921135007403791	0.1820692610926926	0.10545473708771169	0.20236015901900828
VA	131072	17179869	2	128	0.2746060921344906	0.6208845030050725	0.5057726190425456	0.8527980868238956
VA	262144	6871948	2	16	0.07675271504558623	0.17326325993053615	0.11079150508157909	0.20865952502936125
VA	262144	6871948	2	128	0.4183067961130291	0.9913822538219392	0.7345791289117187	1.3080503200180829
VA	262144	68719477	2	16	0.3466365812346339	0.672245227964595	0.5118348922114819	0.8357607619836926
VA	262144	68719477	2	128	0.9876127939205617	1.9713647060561925	2.789639960974455	3.7743088980205357
GAT	131072	1717987	2	16	0.012848776066675782	0.05748111801221967	0.014017727226018906	0.05961629911325872
GAT	131072	1717987	2	128	0.07881472399458289	0.3763600029051304	0.0995164499618113	0.39686383795924485
GAT	131072	17179869	2	16	0.046145055908709764	0.15790831088088453	0.04947146004997194	0.1610288310330361
GAT	131072	17179869	2	128	0.1290254699997604	0.5027413880452514	0.24061278509907424	0.6130543958861381
GAT	262144	6871948	2	16	0.03764140489511192	0.14354413701221347	0.052493660943582654	0.15802718210034072
GAT	262144	6871948	2	128	0.18541085999459028	0.7595253800973296	0.34179894207045436	0.9155951279681176
GAT	262144	68719477	2	16	0.1741314218379557	0.5410106170456856	0.2536775211337954	0.6257697250694036
GAT	262144	68719477	2	128	0.4855283370707184	1.334354727063328	1.3720537261106074	2.2189554770011455
AGNN	131072	1717987	2	16	0.029323920141905546	0.07966691604815423	0.032475910149514675	0.08235672605223954
AGNN	131072	1717987	2	128	0.18010442005470395	0.5209039959590882	0.22697157692164183	0.5677519550081342
AGNN	131072	17179869	2	16	0.10188487614504993	0.2392260618507862	0.11326903803274035	0.24974877084605396
AGNN	131072	17179869	2	128	0.2802156188990921	0.7323507331311703	0.5160089579876512	0.9684120151214302
AGNN	262144	6871948	2	16	0.08249951410107315	0.21715108398348093	0.11765551124699414	0.25268782395869493
AGNN	262144	6871948	2	128	0.42125638597644866	1.14608887094073	0.7402435417752713	1.4701189149636775
AGNN	262144	68719477	2	16	0.38118655513972044	0.8481441119220108	0.5481140809133649	1.0149528740439564
AGNN	262144	68719477	2	128	1.0096507428679615	2.265729886945337	2.830154001014307	4.085104434052482
